"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMIN"
"USC00302031","DELANSON 2 NE, NY US","42.7672","-74.1711","299.9","2015-01-01","-4.4","-11.7"
"USC00302031","DELANSON 2 NE, NY US","42.7672","-74.1711","299.9","2015-01-02","0.0","-7.8"
"USC00302031","DELANSON 2 NE, NY US","42.7672","-74.1711","299.9","2015-01-03","0.6","-9.4"
"USC00302031","DELANSON 2 NE, NY US","42.7672","-74.1711","299.9","2015-01-04","0.6","-6.7"
"USC00302031","DELANSON 2 NE, NY US","42.7672","-74.1711","299.9","2015-01-05","5.0","-5.0"
"USC00302031","DELANSON 2 NE, NY US","42.7672","-74.1711","299.9","2015-01-06","-4.4","-15.0"
"USC00302031","DELANSON 2 NE, NY US","42.7672","-74.1711","299.9","2015-01-07","-7.2","-16.7"
"USC00302031","DELANSON 2 NE, NY US","42.7672","-74.1711","299.9","2015-01-08","-7.8","-25.6"
"USC00302031","DELANSON 2 NE, NY US","42.7672","-74.1711","299.9","2015-01-09","-9.4","-22.8"
"USC00302031","DELANSON 2 NE, NY US","42.7672","-74.1711","299.9","2015-01-10","-3.9","-14.4"
"USC00302031","DELANSON 2 NE, NY US","42.7672","-74.1711","299.9","2015-01-11","-9.4","-15.6"
"USC00302031","DELANSON 2 NE, NY US","42.7672","-74.1711","299.9","2015-01-12","-1.1","-10.0"
"USC00302031","DELANSON 2 NE, NY US","42.7672","-74.1711","299.9","2015-01-13","1.7","-16.7"
"USC00302031","DELANSON 2 NE, NY US","42.7672","-74.1711","299.9","2015-01-14","-12.2","-24.4"
"USC00302031","DELANSON 2 NE, NY US","42.7672","-74.1711","299.9","2015-01-15","-9.4","-24.4"
"USC00302031","DELANSON 2 NE, NY US","42.7672","-74.1711","299.9","2015-01-16","-2.2","-12.2"
"USC00302031","DELANSON 2 NE, NY US","42.7672","-74.1711","299.9","2015-01-17","-0.6","-19.4"
"USC00302031","DELANSON 2 NE, NY US","42.7672","-74.1711","299.9","2015-01-18","0.0","-12.2"
"USC00302031","DELANSON 2 NE, NY US","42.7672","-74.1711","299.9","2015-01-20","1.7","-6.7"
"USC00302031","DELANSON 2 NE, NY US","42.7672","-74.1711","299.9","2015-01-21","-3.3","-16.1"
"USC00302031","DELANSON 2 NE, NY US","42.7672","-74.1711","299.9","2015-01-22","-5.0","-16.1"
"USC00302031","DELANSON 2 NE, NY US","42.7672","-74.1711","299.9","2015-01-23","-1.1","-11.1"
"USC00302031","DELANSON 2 NE, NY US","42.7672","-74.1711","299.9","2015-01-24","-1.7","-11.1"
"USC00302031","DELANSON 2 NE, NY US","42.7672","-74.1711","299.9","2015-01-25","1.7","-3.3"
"USC00302031","DELANSON 2 NE, NY US","42.7672","-74.1711","299.9","2015-01-26","-2.8","-17.8"
"USC00302031","DELANSON 2 NE, NY US","42.7672","-74.1711","299.9","2015-01-27","-5.0","-17.8"
"USC00302031","DELANSON 2 NE, NY US","42.7672","-74.1711","299.9","2015-01-28","-6.7","-14.4"
"USC00302031","DELANSON 2 NE, NY US","42.7672","-74.1711","299.9","2015-01-29","-7.2","-16.7"
"USC00302031","DELANSON 2 NE, NY US","42.7672","-74.1711","299.9","2015-01-30","-2.8","-16.1"
